loss_total	loss_l1	loss_bce	loss_thresh	piexl_acc	piexl_iou	t_rescall	t_precision	t_hmean	b_rescall	b_precision	b_hmean	
2.969103	0.149642	0.760980	0.999206	0.500360	0.483942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.675844	0.140328	0.547588	0.999974	0.500000	0.497316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.679492	0.136780	0.549205	0.999987	0.500000	0.497364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.666136	0.143356	0.545085	0.999986	0.500000	0.497330	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.676219	0.137850	0.547737	0.999983	0.500000	0.497292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.677175	0.137956	0.547632	0.999980	0.500000	0.497379	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.666760	0.143424	0.545045	0.999972	0.500000	0.497292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.674511	0.138926	0.547780	0.999967	0.500000	0.497252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.675983	0.139074	0.547777	0.999964	0.500000	0.497247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
2.671150	0.141237	0.546319	0.999963	0.500000	0.497205	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
